"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1982,"Kareem Abdul-Jabbar","C","7-2","225","Los Angeles Lakers","Western All-Star Fan Vote Selection","1969 Rnd 1 Pick 1","United States"
1982,"Alex English","SF","6-7","190","Denver Nuggets","Western All-Star Fan Vote Selection","1976 Rnd 2 Pick 6","United States"
1982,"George Gervin","GF","6-7","180","San Antonio Spurs","Western All-Star Coaches Selection","1974 Rnd 3 Pick 4","United States"
1982,"Artis Gilmore","C","7-2","240","San Antonio Spurs","Western All-Star Coaches Selection","1971 Rnd 7 Pick 15","United States"
1982,"Magic Johnson","PG","6-9","255","Los Angeles Lakers","Western All-Star Fan Vote Selection","1979 Rnd 1 Pick 1","United States"
1982,"Maurice Lucas","PF","6-9","215","Phoenix Suns","Western All-Star Fan Vote Selection","1974 Rnd 1 Pick 14","United States"
1982,"Jim Paxson","SG","6-6","200","Portland Trail Blazers","Western All-Star Coaches Selection","1979 Rnd 1 Pick 12","United States"
1982,"Jack Sikma","C","6-11","230","Seattle SuperSonics","Western All-Star Coaches Selection","1977 Rnd 1 Pick 8","United States"
1982,"David Thompson","GF","6-5","195","Seattle SuperSonics","Western All-Star Fan Vote Selection","1975 Rnd 1 Pick 1","United States"
1982,"Kiki Vandeweghe","SF","6-8","220","Denver Nuggets","Western All-Star Coaches Selection","1980 Rnd 1 Pick 11","United States"
1982,"Jamaal Wilkes","GF","6-6","190","Los Angeles Lakers","Western All-Star Coaches Selection","1974 Rnd 1 Pick 11","United States"
1982,"Gus Williams","G","6-2","175","Seattle SuperSonics","Western All-Star Coaches Selection","1975 Rnd 2 Pick 2","United States"
1982,"Larry Bird","SF","6-9","220","Boston Celtics","Eastern All-Star Fan Vote Selection","1978 Rnd 1 Pick 6","United States"
1982,"Mo Cheeks","PG","6-1","180","Philadelphia Sixers","Eastern All-Star Fan Vote Selection","1978 Rnd 2 Pick 14","United States"
1982,"Julius Erving","SF","6-6","200","Philadelphia Sixers","Eastern All-Star Fan Vote Selection","1972 Rnd 1 Pick 12","United States"
1982,"Marques Johnson","GF","6-7","218","Milwaukee Bucks","Eastern All-Star Coaches Selection","1977 Rnd 1 Pick 3","United States"
1982,"Bill Laimbeer","C","6-11","245","Detroit Pistons","Eastern All-Star Coaches Selection","1979 Rnd 3 Pick 21","United States"
1982,"Moses Malone","C","6-10","215","Philadelphia Sixers","Eastern All-Star Fan Vote Selection","1976 NBA Draft, Undrafted","United States"
1982,"Sidney Moncrief","SG","6-3","180","Milwaukee Bucks","Eastern All-Star Coaches Selection","1979 Rnd 1 Pick 5","United States"
1982,"Robert Parish","C","7-0","230","Boston Celtics","Eastern All-Star Coaches Selection","1976 Rnd 1 Pick 8","United States"
1982,"Reggie Theus","GF","6-7","190","Chicago Bulls","Eastern All-Star Coaches Selection","1978 Rnd 1 Pick 9","United States"
1982,"Isiah Thomas","PG","6-1","180","Detroit Pistons","Eastern All-Star Fan Vote Selection","1981 Rnd 1 Pick 2","United States"
1982,"Andrew Toney","G","6-3","178","Philadelphia Sixers","Eastern All-Star Coaches Selection","1980 Rnd 1 Pick 8","United States"
1982,"Buck Williams","PF","6-8","215","New Jersey Nets","Eastern All-Star Coaches Selection","1981 Rnd 1 Pick 3","United States"
1983,"Kareem Abdul-Jabbar","C","7-2","225","Los Angeles Lakers","Western All-Star Fan Vote Selection","1969 Rnd 1 Pick 1","United States"
1983,"Mark Aguirre","SF","6-6","232","Dallas Mavericks","Western All-Star Coaches Selection","1981 Rnd 1 Pick 1","United States"
1983,"Adrian Dantley","SF","6-5","208","Utah Jazz","Western All-Star Fan Vote Selection","1976 Rnd 1 Pick 6","United States"
1983,"Walter Davis","GF","6-6","193","Phoenix Suns","Western All-Star Coaches Selection","1977 Rnd 1 Pick 5","United States"
1983,"Alex English","SF","6-7","190","Denver Nuggets","Western All-Star Fan Vote Selection","1976 Rnd 2 Pick 6","United States"
1983,"George Gervin","GF","6-7","180","San Antonio Spurs","Western All-Star Fan Vote Selection","1974 Rnd 3 Pick 4","United States"
1983,"Rickey Green","PG","6-0","170","Utah Jazz","Western All-Star Coaches Selection","1977 Rnd 1 Pick 16","United States"
1983,"Magic Johnson","PG","6-9","255","Los Angeles Lakers","Western All-Star Fan Vote Selection","1979 Rnd 1 Pick 1","United States"
1983,"Jim Paxson","SG","6-6","200","Portland Trail Blazers","Western All-Star Coaches Selection","1979 Rnd 1 Pick 12","United States"
1983,"Ralph Sampson","C","7-4","228","Houston Rockets","Western All-Star Coaches Selection","1983 Rnd 1 Pick 1","United States"
1983,"Jack Sikma","C","6-11","230","Seattle SuperSonics","Western All-Star Coaches Selection","1977 Rnd 1 Pick 8","United States"
1983,"Kiki Vandeweghe","SF","6-8","220","Denver Nuggets","Western All-Star Coaches Selection","1980 Rnd 1 Pick 11","United States"
1983,"Larry Bird","SF","6-9","220","Boston Celtics","Eastern All-Star Fan Vote Selection","1978 Rnd 1 Pick 6","United States"
1983,"Otis Birdsong","GF","6-3","190","New Jersey Nets","Eastern All-Star Coaches Selection","1977 Rnd 1 Pick 2","United States"
1983,"Julius Erving","SF","6-6","200","Philadelphia Sixers","Eastern All-Star Fan Vote Selection","1972 Rnd 1 Pick 12","United States"
1983,"Bernard King","SF","6-7","205","New York Knicks","Eastern All-Star Coaches Selection","1977 Rnd 1 Pick 7","United States"
1983,"Bill Laimbeer","C","6-11","245","Detroit Pistons","Eastern All-Star Replacement Selection","1979 Rnd 3 Pick 21","United States"
1983,"Moses Malone","C","6-10","215","Philadelphia Sixers","Eastern All-Star Fan Vote Selection","1976 NBA Draft, Undrafted","United States"
1983,"Kevin McHale","PF","6-10","210","Boston Celtics","Eastern All-Star Coaches Selection","1980 Rnd 1 Pick 3","United States"
1983,"Sidney Moncrief","SG","6-3","180","Milwaukee Bucks","Eastern All-Star Fan Vote Selection","1979 Rnd 1 Pick 5","United States"
1983,"Robert Parish","C","7-0","230","Boston Celtics","Eastern All-Star Coaches Selection","1976 Rnd 1 Pick 8","United States"
1983,"Jeff Ruland","C","6-10","240","Washington Bullets","Eastern All-Star Coaches Selection","1980 Rnd 2 Pick 2","United States"
1983,"Isiah Thomas","PG","6-1","180","Detroit Pistons","Eastern All-Star Fan Vote Selection","1981 Rnd 1 Pick 2","United States"
1983,"Andrew Toney","G","6-3","178","Philadelphia Sixers","Eastern All-Star Coaches Selection","1980 Rnd 1 Pick 8","United States"
1983,"Kelly Tripucka","SF","6-6","220","Detroit Pistons","Eastern All-Star Coaches Selection","1981 Rnd 1 Pick 12","United States"
1984,"Larry Bird","SF","6-9","220","Boston Celtics","Eastern All-Star Fan Vote Selection","1978 Rnd 1 Pick 6","United States"
1984,"Terry Cummings","PF","6-9","220","Milwaukee Bucks","Eastern All-Star Coaches Selection","1982 Rnd 1 Pick 2","United States"
1984,"Julius Erving","SF","6-6","200","Philadelphia Sixers","Eastern All-Star Fan Vote Selection","1972 Rnd 1 Pick 12","United States"
1984,"Dennis Johnson","PG","6-4","185","Boston Celtics","Eastern All-Star Coaches Selection","1976 Rnd 2 Pick 12","United States"
1984,"Michael Jordan","SG","6-6","215","Chicago Bulls","Eastern All-Star Fan Vote Selection","1984 Rnd 1 Pick 3","United States"
1984,"Bernard King","SF","6-7","205","New York Knicks","Eastern All-Star Coaches Selection","1977 Rnd 1 Pick 7","United States"
1984,"Bill Laimbeer","C","6-11","245","Detroit Pistons","Eastern All-Star Coaches Selection","1979 Rnd 3 Pick 21","United States"
1984,"Moses Malone","C","6-10","215","Philadelphia Sixers","Eastern All-Star Fan Vote Selection","1976 NBA Draft, Undrafted","United States"
1984,"Sidney Moncrief","SG","6-3","180","Milwaukee Bucks","Eastern All-Star Coaches Selection","1979 Rnd 1 Pick 5","United States"
1984,"Robert Parish","C","7-0","230","Boston Celtics","Eastern All-Star Coaches Selection","1976 Rnd 1 Pick 8","United States"
1984,"Micheal Ray Richardson","PG","6-5","189","New Jersey Nets","Eastern All-Star Coaches Selection","1978 Rnd 1 Pick 4","United States"
1984,"Isiah Thomas","PG","6-1","180","Detroit Pistons","Eastern All-Star Fan Vote Selection","1981 Rnd 1 Pick 2","United States"
1984,"Kareem Abdul-Jabbar","C","7-2","225","Los Angeles Lakers","Western All-Star Fan Vote Selection","1969 Rnd 1 Pick 1","United States"
1984,"Rolando Blackman","G","6-6","190","Dallas Mavericks","Western All-Star Coaches Selection","1981 Rnd 1 Pick 9","PanamaUnited States"
