Season,Year,Name,Position
2018-19,2019,Giannis Antetokounmpo,F
2018-19,2019,Paul George,F
2018-19,2019,Nikola Jokić,C
2018-19,2019,James Harden,G
2018-19,2019,Stephen Curry,G
2018-19,2019,Kevin Durant,F
2018-19,2019,Kawhi Leonard,F
2018-19,2019,Joel Embiid,C
2018-19,2019,Damian Lillard,G
2018-19,2019,Kyrie Irving,G
2018-19,2019,Blake Griffin,F
2018-19,2019,LeBron James,F
2018-19,2019,Rudy Gobert,C
2018-19,2019,Russell Westbrook,G
2018-19,2019,Kemba Walker,G
2017-18,2018,LeBron James,F
2017-18,2018,Kevin Durant,F
2017-18,2018,Anthony Davis,C
2017-18,2018,James Harden,G
2017-18,2018,Damian Lillard,G
2017-18,2018,LaMarcus Aldridge,F
2017-18,2018,Giannis Antetokounmpo,F
2017-18,2018,Joel Embiid,C
2017-18,2018,DeMar DeRozan,G
2017-18,2018,Russell Westbrook,G
2017-18,2018,Paul George,F
2017-18,2018,Jimmy Butler,F
2017-18,2018,Karl-Anthony Towns,C
2017-18,2018,Stephen Curry,G
2017-18,2018,Victor Oladipo,G
2016-17,2017,LeBron James,F
2016-17,2017,Kawhi Leonard,F
2016-17,2017,Anthony Davis,C
2016-17,2017,James Harden,G
2016-17,2017,Russell Westbrook,G
2016-17,2017,Giannis Antetokounmpo,F
2016-17,2017,Kevin Durant,F
2016-17,2017,Rudy Gobert,C
2016-17,2017,Stephen Curry,G
2016-17,2017,Isaiah Thomas,G
2016-17,2017,Draymond Green,F
2016-17,2017,Jimmy Butler,F
2016-17,2017,DeAndre Jordan,C
2016-17,2017,John Wall,G
2016-17,2017,DeMar DeRozan,G
2015-16,2016,LeBron James,F
2015-16,2016,Kawhi Leonard,F
2015-16,2016,DeAndre Jordan,C
2015-16,2016,Stephen Curry,G
2015-16,2016,Russell Westbrook,G
2015-16,2016,Kevin Durant,F
2015-16,2016,Draymond Green,F
2015-16,2016,DeMarcus Cousins,C
2015-16,2016,Chris Paul,G
2015-16,2016,Damian Lillard,G
2015-16,2016,Paul George,F
2015-16,2016,LaMarcus Aldridge,F
2015-16,2016,Andre Drummond,C
2015-16,2016,Klay Thompson,G
2015-16,2016,Kyle Lowry,G
2014-15,2015,LeBron James,F
2014-15,2015,Anthony Davis,F
2014-15,2015,Marc Gasol,C
2014-15,2015,Stephen Curry,G
2014-15,2015,James Harden,G
2014-15,2015,LaMarcus Aldridge,F
2014-15,2015,DeMarcus Cousins,F
2014-15,2015,Pau Gasol,C
2014-15,2015,Russell Westbrook,G
2014-15,2015,Chris Paul,G
